               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.010685,           0.0051954,          0.00096579,             0.99089,             0.99442,             0.99349,             0.93831,           0.0051702,           0.0026725,          0.00047031,            0.007624,            0.007624,            0.007624
                 122,            0.010351,           0.0052545,           0.0016336,             0.99117,             0.99489,             0.99357,             0.94035,           0.0051627,           0.0026873,           0.0005051,           0.0076042,           0.0076042,           0.0076042
                 123,            0.010131,           0.0053146,           0.0011071,             0.99094,             0.99254,             0.99277,             0.93782,           0.0052231,           0.0027016,          0.00047742,           0.0075844,           0.0075844,           0.0075844
                 124,            0.010052,           0.0051466,          0.00080382,             0.99057,             0.99204,             0.99309,             0.93841,            0.005222,           0.0027309,          0.00048354,           0.0075646,           0.0075646,           0.0075646
                 125,             0.01028,           0.0052687,          0.00082828,             0.99393,             0.98944,             0.99296,             0.94004,           0.0051502,           0.0027414,           0.0004899,           0.0075448,           0.0075448,           0.0075448
                 126,            0.010295,           0.0051948,           0.0011307,             0.99393,             0.99002,             0.99251,             0.94033,           0.0051653,           0.0027465,          0.00048534,            0.007525,            0.007525,            0.007525
                 127,            0.010194,           0.0053174,           0.0009096,             0.99172,             0.99297,             0.99238,             0.94015,           0.0051897,           0.0027634,          0.00046327,           0.0075052,           0.0075052,           0.0075052
                 128,           0.0098651,           0.0052443,           0.0012244,             0.99261,             0.99256,              0.9925,              0.9382,           0.0052682,            0.002768,          0.00045831,           0.0074854,           0.0074854,           0.0074854
                 129,            0.010152,            0.005207,          0.00080725,             0.99205,             0.99187,             0.99228,              0.9381,           0.0052309,           0.0027822,          0.00046866,           0.0074656,           0.0074656,           0.0074656
                 130,           0.0096518,           0.0052697,           0.0011964,             0.99195,             0.99273,             0.99218,               0.938,           0.0052138,           0.0027624,          0.00046374,           0.0074458,           0.0074458,           0.0074458
                 131,           0.0097174,           0.0051774,          0.00096945,             0.99051,             0.99216,             0.99221,             0.93855,           0.0051919,           0.0027254,          0.00047399,            0.007426,            0.007426,            0.007426
